Lead_ID,Inquiry_Date,City,Project_Type,Lead_Source,Budget_INR_K,Funnel_Stage,Stage_Order,Converted,Loss_Reason,Days_In_Funnel
LD-0001,2023-01-08,Mumbai,Living Room Set,Google Ads,178.0,Site Visit Done,2,0,Site visit done but ghosted,8
LD-0002,2023-01-17,Mumbai,Living Room Set,Instagram,270.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0003,2023-01-25,Delhi,Children's Room,Instagram,143.0,Inquiry Only,1,0,No response after inquiry,3
LD-0004,2023-01-03,Ahmedabad,Bedroom System,Referral,181.0,Closed Won,5,1,,32
LD-0005,2023-01-18,Ahmedabad,Bedroom System,Google Ads,167.0,Inquiry Only,1,0,No response after inquiry,5
LD-0006,2023-01-25,Mumbai,Home Office,Referral,115.0,Closed Won,5,1,,38
LD-0007,2023-01-22,Mumbai,Bedroom System,Housing.com,163.0,Inquiry Only,1,0,Could not schedule,5
LD-0008,2023-01-15,Bengaluru,Living Room Set,Google Ads,226.0,Inquiry Only,1,0,Location too far,3
LD-0009,2023-01-02,Hyderabad,Living Room Set,Housing.com,311.0,Inquiry Only,1,0,Could not schedule,2
LD-0010,2023-01-07,Bengaluru,Kitchen Storage,Housing.com,179.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0011,2023-01-09,Delhi,Home Office,Referral,170.0,Negotiation,4,0,Competitor won on delivery time,28
LD-0012,2023-01-05,Hyderabad,Children's Room,Instagram,126.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0013,2023-01-17,Delhi,Wardrobe Unit,Referral,128.0,Site Visit Done,2,0,Site visit done but ghosted,9
LD-0014,2023-01-11,Hyderabad,Kitchen Storage,Housing.com,113.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0015,2023-01-17,Chennai,Living Room Set,Word of Mouth,302.0,Quote Sent,3,0,Quote rejected outright,9
LD-0016,2023-01-30,Mumbai,Wardrobe Unit,Instagram,170.0,Negotiation,4,0,Project postponed indefinitely,19
LD-0017,2023-01-03,Chennai,Children's Room,Referral,136.0,Inquiry Only,1,0,Location too far,2
LD-0018,2023-01-17,Chennai,Living Room Set,Google Ads,324.0,Quote Sent,3,0,Quote rejected outright,18
LD-0019,2023-01-15,Ahmedabad,Home Office,Instagram,188.0,Inquiry Only,1,0,Location too far,2
LD-0020,2023-01-19,Mumbai,Home Office,Referral,106.0,Negotiation,4,0,Project postponed indefinitely,14
LD-0021,2023-01-18,Delhi,Bedroom System,Instagram,141.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0022,2023-01-04,Hyderabad,Living Room Set,Walk-in Showroom,282.0,Quote Sent,3,0,Price too high,17
LD-0023,2023-01-24,Pune,Living Room Set,Google Ads,218.0,Inquiry Only,1,0,Location too far,2
LD-0024,2023-01-09,Bengaluru,Bedroom System,Referral,194.0,Inquiry Only,1,0,Could not schedule,4
LD-0025,2023-01-21,Hyderabad,Living Room Set,Walk-in Showroom,350.0,Inquiry Only,1,0,Could not schedule,2
LD-0026,2023-01-13,Bengaluru,Living Room Set,Referral,330.0,Negotiation,4,0,Client relocated,21
LD-0027,2023-01-18,Ahmedabad,Wardrobe Unit,Instagram,189.0,Inquiry Only,1,0,Location too far,3
LD-0028,2023-01-02,Mumbai,Kitchen Storage,Referral,190.0,Negotiation,4,0,Competitor won on delivery time,13
LD-0029,2023-01-20,Mumbai,Living Room Set,Word of Mouth,164.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0030,2023-01-02,Bengaluru,Home Office,Word of Mouth,154.0,Negotiation,4,0,Competitor won on delivery time,22
LD-0031,2023-01-10,Delhi,Home Office,Referral,135.0,Inquiry Only,1,0,Could not schedule,1
LD-0032,2023-01-03,Ahmedabad,Wardrobe Unit,Instagram,171.0,Inquiry Only,1,0,Location too far,3
LD-0033,2023-01-06,Chennai,Bedroom System,Housing.com,190.0,Inquiry Only,1,0,No response after inquiry,5
LD-0034,2023-01-22,Hyderabad,Home Office,Word of Mouth,178.0,Quote Sent,3,0,Quote rejected outright,11
LD-0035,2023-01-09,Mumbai,Home Office,Referral,114.0,Quote Sent,3,0,Budget cut after quote,15
LD-0036,2023-01-03,Chennai,Kitchen Storage,Instagram,176.0,Inquiry Only,1,0,Could not schedule,1
